model,rate,mse_infected,mae_infected,rmse_infected,mape_infected,curve_accuracy,r2_infected,peak_infected_error,time_to_peak_error,final_infected_error,mse_recovered,mae_recovered,r2_recovered,beta,mu
SEIR-Campus,4.1739256678281075e-05,1.191019786910198,0.8904109589041096,1.0913385299301945,0.32566732616390837,0.6743326738360916,-0.19971226647904516,1.166666666666666,18.0,0.5,116.14497716894978,9.668949771689496,0.5198871839062726,,
Weighted SIR,,352.1898782343988,10.865296803652967,18.766722629015405,3.563479559703106,0.0,-353.7602833230072,50.66666666666667,26.0,0.6666666666666666,18054.991248097413,125.2214611872146,-73.63458949294167,0.006,0.22
