time_step,susceptible,exposed,infected,recovered,quarantined,vaccinated
0.0,241.0,5.0,0.0,0.0,0.0,0.0
1.0,240.83333333333334,5.166666666666667,1.3333333333333333,0.0,0.0,0.0
2.0,239.5,6.5,1.8333333333333333,0.16666666666666666,0.0,0.0
3.0,239.5,6.5,2.8333333333333335,0.3333333333333333,0.0,0.0
4.0,239.5,6.5,3.0,1.3333333333333333,0.0,0.0
5.0,238.0,8.0,2.8333333333333335,1.8333333333333333,0.0,0.0
6.0,237.5,8.5,3.6666666666666665,2.1666666666666665,0.0,0.0
7.0,236.33333333333334,9.666666666666666,2.8333333333333335,3.3333333333333335,0.0,0.0
8.0,236.0,10.0,3.3333333333333335,3.6666666666666665,0.0,0.0
9.0,234.5,11.5,3.0,4.833333333333333,0.0,0.0
10.0,234.5,11.5,3.0,5.333333333333333,0.0,0.0
11.0,234.5,11.5,3.6666666666666665,5.833333333333333,0.0,0.0
12.0,233.16666666666666,12.833333333333334,3.8333333333333335,6.5,0.0,0.0
13.0,232.16666666666666,13.833333333333334,3.6666666666666665,7.333333333333333,0.0,0.0
14.0,230.5,15.5,3.8333333333333335,7.833333333333333,0.0,0.0
15.0,229.66666666666666,16.333333333333332,3.3333333333333335,9.0,0.0,0.0
16.0,229.33333333333334,16.666666666666668,3.0,10.166666666666666,0.0,0.0
17.0,229.33333333333334,16.666666666666668,3.8333333333333335,10.833333333333334,0.0,0.0
18.0,229.33333333333334,16.666666666666668,3.6666666666666665,11.833333333333334,0.0,0.0
19.0,227.66666666666666,18.333333333333332,3.1666666666666665,12.833333333333334,0.0,0.0
20.0,227.16666666666666,18.833333333333332,3.1666666666666665,13.5,0.0,0.0
21.0,226.0,20.0,3.1666666666666665,14.333333333333334,0.0,0.0
22.0,225.83333333333334,20.166666666666668,3.3333333333333335,14.666666666666666,0.0,0.0
23.0,225.0,21.0,3.1666666666666665,15.166666666666666,0.0,0.0
24.0,225.0,21.0,3.0,16.0,0.0,0.0
25.0,225.0,21.0,3.1666666666666665,16.333333333333332,0.0,0.0
26.0,222.83333333333334,23.166666666666668,3.0,17.0,0.0,0.0
27.0,222.16666666666666,23.833333333333332,3.5,17.666666666666668,0.0,0.0
28.0,221.0,25.0,3.1666666666666665,18.5,0.0,0.0
29.0,220.5,25.5,2.8333333333333335,19.166666666666668,0.0,0.0
30.0,218.66666666666666,27.333333333333332,3.8333333333333335,19.666666666666668,0.0,0.0
31.0,218.66666666666666,27.333333333333332,3.3333333333333335,21.5,0.0,0.0
32.0,218.66666666666666,27.333333333333332,3.6666666666666665,22.333333333333332,0.0,0.0
33.0,216.83333333333334,29.166666666666668,3.0,23.333333333333332,0.0,0.0
34.0,215.83333333333334,30.166666666666668,2.8333333333333335,24.333333333333332,0.0,0.0
35.0,214.83333333333334,31.166666666666668,3.5,24.666666666666668,0.0,0.0
36.0,213.66666666666666,32.333333333333336,3.3333333333333335,25.666666666666668,0.0,0.0
37.0,211.5,34.5,4.166666666666667,26.166666666666668,0.0,0.0
38.0,211.5,34.5,4.666666666666667,27.0,0.0,0.0
39.0,211.5,34.5,4.166666666666667,27.833333333333332,0.0,0.0
40.0,210.5,35.5,3.8333333333333335,28.666666666666668,0.0,0.0
41.0,208.66666666666666,37.333333333333336,3.8333333333333335,29.833333333333332,0.0,0.0
42.0,208.66666666666666,37.333333333333336,3.8333333333333335,31.166666666666668,0.0,0.0
43.0,207.83333333333334,38.166666666666664,3.0,32.333333333333336,0.0,0.0
44.0,207.0,39.0,2.3333333333333335,33.5,0.0,0.0
45.0,207.0,39.0,3.3333333333333335,33.666666666666664,0.0,0.0
46.0,207.0,39.0,3.5,34.166666666666664,0.0,0.0
47.0,206.16666666666666,39.833333333333336,2.6666666666666665,35.166666666666664,0.0,0.0
48.0,205.33333333333334,40.666666666666664,3.0,35.666666666666664,0.0,0.0
49.0,204.83333333333334,41.166666666666664,2.6666666666666665,36.833333333333336,0.0,0.0
50.0,203.83333333333334,42.166666666666664,2.3333333333333335,37.666666666666664,0.0,0.0
51.0,203.0,43.0,2.6666666666666665,38.166666666666664,0.0,0.0
52.0,203.0,43.0,2.8333333333333335,38.833333333333336,0.0,0.0
53.0,203.0,43.0,2.6666666666666665,39.333333333333336,0.0,0.0
54.0,201.83333333333334,44.166666666666664,1.8333333333333333,40.333333333333336,0.0,0.0
55.0,201.66666666666666,44.333333333333336,2.3333333333333335,40.666666666666664,0.0,0.0
56.0,201.0,45.0,2.6666666666666665,41.0,0.0,0.0
57.0,200.66666666666666,45.333333333333336,2.3333333333333335,41.833333333333336,0.0,0.0
58.0,200.0,46.0,1.8333333333333333,42.833333333333336,0.0,0.0
59.0,200.0,46.0,1.3333333333333333,43.666666666666664,0.0,0.0
60.0,200.0,46.0,1.5,44.0,0.0,0.0
61.0,199.33333333333334,46.666666666666664,1.3333333333333333,44.333333333333336,0.0,0.0
62.0,199.16666666666666,46.833333333333336,1.5,44.5,0.0,0.0
63.0,198.83333333333334,47.166666666666664,1.5,44.833333333333336,0.0,0.0
64.0,198.66666666666666,47.333333333333336,1.3333333333333333,45.0,0.0,0.0
65.0,198.33333333333334,47.666666666666664,1.6666666666666667,45.333333333333336,0.0,0.0
66.0,198.33333333333334,47.666666666666664,1.1666666666666667,45.833333333333336,0.0,0.0
67.0,198.33333333333334,47.666666666666664,1.3333333333333333,45.833333333333336,0.0,0.0
68.0,198.16666666666666,47.833333333333336,0.8333333333333334,46.5,0.0,0.0
69.0,198.16666666666666,47.833333333333336,0.8333333333333334,46.5,0.0,0.0
70.0,197.83333333333334,48.166666666666664,1.1666666666666667,46.5,0.0,0.0
71.0,197.66666666666666,48.333333333333336,0.8333333333333334,46.833333333333336,0.0,0.0
72.0,197.33333333333334,48.666666666666664,0.6666666666666666,47.0,0.0,0.0
