time_step,susceptible,infected,recovered,vaccinated
0.0,241.0,5.0,0.0,0.0
1.0,236.83333333333334,8.333333333333334,0.8333333333333334,0.0
2.0,230.83333333333334,12.166666666666666,3.0,0.0
3.0,224.0,16.833333333333332,5.166666666666667,0.0
4.0,214.83333333333334,22.166666666666668,9.0,0.0
5.0,201.5,30.666666666666668,13.833333333333334,0.0
6.0,186.33333333333334,39.833333333333336,19.833333333333332,0.0
7.0,174.0,43.666666666666664,28.333333333333332,0.0
8.0,158.66666666666666,50.5,36.833333333333336,0.0
9.0,145.16666666666666,52.0,48.833333333333336,0.0
10.0,132.0,51.666666666666664,62.333333333333336,0.0
11.0,120.16666666666667,54.333333333333336,71.5,0.0
12.0,107.5,55.333333333333336,83.16666666666667,0.0
13.0,98.33333333333333,53.5,94.16666666666667,0.0
14.0,91.0,47.0,108.0,0.0
15.0,86.66666666666667,38.166666666666664,121.16666666666667,0.0
16.0,82.5,34.333333333333336,129.16666666666666,0.0
17.0,79.33333333333333,29.666666666666668,137.0,0.0
18.0,76.5,24.166666666666668,145.33333333333334,0.0
19.0,74.0,21.5,150.5,0.0
20.0,72.5,17.666666666666668,155.83333333333334,0.0
21.0,70.66666666666667,16.333333333333332,159.0,0.0
22.0,68.83333333333333,14.833333333333334,162.33333333333334,0.0
23.0,66.66666666666667,14.0,165.33333333333334,0.0
24.0,64.5,12.333333333333334,169.16666666666666,0.0
25.0,63.0,11.0,172.0,0.0
26.0,62.833333333333336,9.5,173.66666666666666,0.0
27.0,62.333333333333336,8.0,175.66666666666666,0.0
28.0,61.833333333333336,7.0,177.16666666666666,0.0
29.0,61.333333333333336,6.0,178.66666666666666,0.0
30.0,60.666666666666664,5.333333333333333,180.0,0.0
31.0,60.5,4.5,181.0,0.0
32.0,60.166666666666664,4.0,181.83333333333334,0.0
33.0,59.833333333333336,3.3333333333333335,182.83333333333334,0.0
34.0,59.5,3.1666666666666665,183.33333333333334,0.0
35.0,59.333333333333336,2.8333333333333335,183.83333333333334,0.0
36.0,59.0,2.5,184.5,0.0
37.0,59.0,2.0,185.0,0.0
38.0,58.833333333333336,1.1666666666666667,186.0,0.0
39.0,58.666666666666664,1.1666666666666667,186.16666666666666,0.0
40.0,58.666666666666664,1.0,186.33333333333334,0.0
41.0,58.5,1.1666666666666667,186.33333333333334,0.0
42.0,58.5,1.0,186.5,0.0
43.0,58.5,0.6666666666666666,186.83333333333334,0.0
44.0,58.5,0.6666666666666666,186.83333333333334,0.0
45.0,58.333333333333336,0.3333333333333333,187.33333333333334,0.0
46.0,58.333333333333336,0.3333333333333333,187.33333333333334,0.0
47.0,58.333333333333336,0.3333333333333333,187.33333333333334,0.0
48.0,58.333333333333336,0.3333333333333333,187.33333333333334,0.0
49.0,58.333333333333336,0.16666666666666666,187.5,0.0
50.0,58.333333333333336,0.16666666666666666,187.5,0.0
51.0,58.166666666666664,0.16666666666666666,187.66666666666666,0.0
52.0,58.166666666666664,0.16666666666666666,187.66666666666666,0.0
53.0,58.166666666666664,0.16666666666666666,187.66666666666666,0.0
54.0,58.166666666666664,0.16666666666666666,187.66666666666666,0.0
55.0,58.166666666666664,0.16666666666666666,187.66666666666666,0.0
56.0,58.166666666666664,0.16666666666666666,187.66666666666666,0.0
57.0,58.166666666666664,0.16666666666666666,187.66666666666666,0.0
58.0,58.166666666666664,0.16666666666666666,187.66666666666666,0.0
59.0,58.166666666666664,0.0,187.83333333333334,0.0
60.0,58.166666666666664,0.0,187.83333333333334,0.0
61.0,58.166666666666664,0.0,187.83333333333334,0.0
62.0,58.166666666666664,0.0,187.83333333333334,0.0
63.0,58.166666666666664,0.0,187.83333333333334,0.0
64.0,58.166666666666664,0.0,187.83333333333334,0.0
65.0,58.166666666666664,0.0,187.83333333333334,0.0
66.0,58.166666666666664,0.0,187.83333333333334,0.0
67.0,58.166666666666664,0.0,187.83333333333334,0.0
68.0,58.166666666666664,0.0,187.83333333333334,0.0
69.0,58.166666666666664,0.0,187.83333333333334,0.0
70.0,58.166666666666664,0.0,187.83333333333334,0.0
71.0,58.166666666666664,0.0,187.83333333333334,0.0
72.0,58.166666666666664,0.0,187.83333333333334,0.0
