time_step,susceptible,exposed,infected,recovered,quarantined,vaccinated
0.0,241.0,5.0,0.0,0.0,0.0,0.0
1.0,240.66666666666666,5.333333333333333,1.1666666666666667,0.0,0.0,0.0
2.0,238.66666666666666,7.333333333333333,2.1666666666666665,0.16666666666666666,0.0,0.0
3.0,238.66666666666666,7.333333333333333,3.3333333333333335,0.5,0.0,0.0
4.0,238.66666666666666,7.333333333333333,4.166666666666667,0.8333333333333334,0.0,0.0
5.0,236.0,10.0,4.333333333333333,1.8333333333333333,0.0,0.0
6.0,235.33333333333334,10.666666666666666,4.5,2.6666666666666665,0.0,0.0
7.0,233.0,13.0,4.5,3.6666666666666665,0.0,0.0
8.0,232.0,14.0,4.666666666666667,5.0,0.0,0.0
9.0,229.66666666666666,16.333333333333332,4.666666666666667,6.5,0.0,0.0
10.0,229.66666666666666,16.333333333333332,5.0,7.833333333333333,0.0,0.0
11.0,229.66666666666666,16.333333333333332,4.666666666666667,8.833333333333334,0.0,0.0
12.0,226.5,19.5,3.3333333333333335,10.833333333333334,0.0,0.0
13.0,225.5,20.5,3.5,12.166666666666666,0.0,0.0
14.0,224.16666666666666,21.833333333333332,3.6666666666666665,13.166666666666666,0.0,0.0
15.0,222.83333333333334,23.166666666666668,4.5,14.0,0.0,0.0
16.0,220.0,26.0,3.8333333333333335,15.166666666666666,0.0,0.0
17.0,220.0,26.0,4.166666666666667,16.5,0.0,0.0
18.0,220.0,26.0,5.333333333333333,17.5,0.0,0.0
19.0,218.0,28.0,4.666666666666667,19.166666666666668,0.0,0.0
20.0,216.33333333333334,29.666666666666668,5.833333333333333,20.166666666666668,0.0,0.0
21.0,214.33333333333334,31.666666666666668,4.666666666666667,22.0,0.0,0.0
22.0,213.5,32.5,4.333333333333333,23.5,0.0,0.0
23.0,211.16666666666666,34.833333333333336,5.166666666666667,24.333333333333332,0.0,0.0
24.0,211.16666666666666,34.833333333333336,5.5,25.833333333333332,0.0,0.0
25.0,211.16666666666666,34.833333333333336,4.666666666666667,27.5,0.0,0.0
26.0,208.83333333333334,37.166666666666664,3.8333333333333335,29.0,0.0,0.0
27.0,208.0,38.0,4.666666666666667,29.5,0.0,0.0
28.0,206.83333333333334,39.166666666666664,3.8333333333333335,31.0,0.0,0.0
29.0,205.66666666666666,40.333333333333336,4.0,31.333333333333332,0.0,0.0
30.0,203.16666666666666,42.833333333333336,5.5,31.666666666666668,0.0,0.0
31.0,203.16666666666666,42.833333333333336,5.333333333333333,33.666666666666664,0.0,0.0
32.0,203.16666666666666,42.833333333333336,5.166666666666667,35.166666666666664,0.0,0.0
