time,susceptible,infected,recovered,vaccinated
0.0,239.0,3.0,0.0,0.0
1.0,236.75,4.958333333333333,0.2916666666666667,0.0
2.0,233.75,7.416666666666667,0.8333333333333334,0.0
3.0,230.08333333333334,10.25,1.6666666666666667,0.0
4.0,225.33333333333334,13.375,3.2916666666666665,0.0
5.0,219.75,16.875,5.375,0.0
6.0,212.95833333333334,21.333333333333332,7.708333333333333,0.0
7.0,204.04166666666666,27.833333333333332,10.125,0.0
8.0,194.58333333333334,33.416666666666664,14.0,0.0
9.0,184.58333333333334,38.75,18.666666666666668,0.0
10.0,173.04166666666666,43.958333333333336,25.0,0.0
11.0,161.625,49.458333333333336,30.916666666666668,0.0
12.0,148.25,55.791666666666664,37.958333333333336,0.0
13.0,137.33333333333334,58.916666666666664,45.75,0.0
14.0,126.33333333333333,61.416666666666664,54.25,0.0
15.0,115.45833333333333,64.54166666666667,62.0,0.0
16.0,105.79166666666667,65.33333333333333,70.875,0.0
17.0,97.70833333333333,65.41666666666667,78.875,0.0
18.0,89.5,64.83333333333333,87.66666666666667,0.0
19.0,82.54166666666667,62.541666666666664,96.91666666666667,0.0
20.0,75.83333333333333,61.25,104.91666666666667,0.0
21.0,70.58333333333333,56.916666666666664,114.5,0.0
22.0,65.08333333333333,54.958333333333336,121.95833333333333,0.0
23.0,60.458333333333336,51.25,130.29166666666666,0.0
24.0,57.083333333333336,47.416666666666664,137.5,0.0
25.0,53.916666666666664,44.458333333333336,143.625,0.0
26.0,50.833333333333336,41.291666666666664,149.875,0.0
27.0,48.166666666666664,38.0,155.83333333333334,0.0
28.0,46.416666666666664,33.375,162.20833333333334,0.0
29.0,44.708333333333336,30.25,167.04166666666666,0.0
30.0,42.875,28.0,171.125,0.0
31.0,41.583333333333336,25.666666666666668,174.75,0.0
32.0,40.541666666666664,22.791666666666668,178.66666666666666,0.0
33.0,38.916666666666664,21.541666666666668,181.54166666666666,0.0
34.0,37.958333333333336,19.583333333333332,184.45833333333334,0.0
35.0,37.25,18.25,186.5,0.0
36.0,36.208333333333336,16.916666666666668,188.875,0.0
37.0,35.666666666666664,14.916666666666666,191.41666666666666,0.0
38.0,34.958333333333336,13.5,193.54166666666666,0.0
39.0,34.333333333333336,12.125,195.54166666666666,0.0
40.0,34.083333333333336,10.375,197.54166666666666,0.0
41.0,33.708333333333336,9.291666666666666,199.0,0.0
42.0,33.416666666666664,8.583333333333334,200.0,0.0
43.0,33.0,7.958333333333333,201.04166666666666,0.0
44.0,32.666666666666664,7.083333333333333,202.25,0.0
45.0,32.291666666666664,6.625,203.08333333333334,0.0
46.0,32.0,6.083333333333333,203.91666666666666,0.0
47.0,31.875,5.375,204.75,0.0
48.0,31.833333333333332,4.625,205.54166666666666,0.0
49.0,31.541666666666668,4.458333333333333,206.0,0.0
50.0,31.375,4.0,206.625,0.0
