model,beta,mu,mse_infected,mae_infected,rmse_infected,mape_infected,curve_accuracy,r2_infected,peak_infected_error,time_to_peak_error,final_infected_error,rss_infected,aic_infected,bic_infected,mse_recovered,mae_recovered,r2_recovered,sigma,gamma
SIR,0.012,0.1,261.82931644880176,13.506535947712418,16.18114076475456,0.6556267021144709,0.34437329788552906,0.41267053197398007,22.666666666666657,0.0,6.25,13353.29513888889,287.95233420404986,291.8159854694985,74.05065359477125,7.2254901960784315,0.9873083632603343,,
SIR,0.012,0.14,27.83517156862744,3.3578431372549016,5.275904810421379,0.11614326159596394,0.8838567384040361,0.9375607868074173,5.833333333333336,3.0,1.4166666666666665,1419.5937499999995,173.6413196548742,177.50497092032285,69.54575163398691,7.053921568627451,0.9880804642001445,,
SIR,0.012,0.18,192.0396922657952,10.014705882352942,13.857838657806461,0.2864248864377119,0.7135751135622881,0.5692210031018234,26.000000000000007,0.0,1.5833333333333335,9794.024305555555,272.1428061418621,276.00645740731073,812.7777777777776,24.2875816993464,0.8606969715341362,,
SIR,0.012,0.22,387.04404956427015,15.596405228758172,19.673435123645035,0.484530130247978,0.515469869752022,0.13179173815828216,36.08333333333334,3.0,2.0,19739.246527777777,307.8854639955112,311.74911526095985,1236.1956699346404,28.950980392156854,0.7881268345338966,,
SIR,0.016,0.1,546.5567129629629,16.264705882352942,23.378552413760843,0.4764397661729543,0.5235602338270458,-0.2260233797515081,47.08333333333333,3.0,2.333333333333333,27874.39236111111,325.4855419318942,329.34919319734286,420.42578976034866,18.194444444444446,0.9279426832769757,,
SIR,0.016,0.14,64.95690359477126,6.6830065359477135,8.059584579540763,0.3026024614707225,0.6973975385292774,0.8542901759421789,10.083333333333329,2.0,2.583333333333333,3312.8020833333344,216.85992544741555,220.7235767128642,140.8154956427015,8.802287581699346,0.9758654511303417,,
SIR,0.016,0.18,144.34974128540304,10.349673202614381,12.014563715982492,0.4579217946878788,0.5420782053121211,0.6761979983420708,2.416666666666657,5.0,3.0833333333333335,7361.836805555555,257.58419480555494,261.4478460710036,539.2302559912854,18.633986928104576,0.9075806330416839,,
SIR,0.016,0.22,214.82386982570807,12.127450980392156,14.656871078975488,0.47490505808540634,0.5250949419145936,0.5181120628686517,22.000000000000007,3.0,3.4166666666666665,10956.017361111111,277.86074259621375,281.7243938616624,95.32897603485839,8.094771241830063,0.9836614442160151,,
SIR,0.02,0.1,832.8787445533771,16.16993464052288,28.859638676764078,0.4370308368004071,0.5629691631995929,-0.8682943400051526,58.33333333333333,5.0,0.08333333333333348,42476.81597222223,346.96929140728,350.8329426727287,1145.9809368191723,30.395424836601304,0.8035888536476382,,
SIR,0.02,0.14,526.2583741830065,16.916666666666668,22.940322015678124,0.680066839628067,0.319933160371933,-0.18049061558613655,38.66666666666666,6.0,3.25,26839.177083333332,323.5554071881474,327.41905845359605,1963.2988834422658,38.72549019607843,0.6635076798052753,,
SIR,0.02,0.18,295.93103213507624,14.606209150326796,17.20264607945755,0.6250330573762678,0.3749669426237322,0.3361743519264313,16.08333333333333,5.0,3.8333333333333335,15092.482638888889,294.1964478092212,298.06009907466984,1656.6883169934645,34.84967320261438,0.7160580590525163,,
SIR,0.02,0.22,418.10314542483655,17.325163398692812,20.447570648486252,0.7103646536915823,0.2896353463084177,0.0621206925451655,3.8333333333333286,6.0,4.0,21323.260416666664,311.82213623518555,315.6857875006342,1918.1527777777776,35.31699346405229,0.6712453289074665,,
SIR,0.024,0.1,1215.1043709150326,19.478758169934643,34.85834722007102,0.6182128698246995,0.3817871301753005,-1.725694026341655,71.99999999999999,7.0,1.0833333333333335,61970.322916666664,366.23184795772124,370.0954992231699,1667.4063180827889,36.666666666666664,0.7142210870637823,,
SIR,0.024,0.14,821.2425789760349,20.475490196078432,28.657330283472586,0.7953009567494329,0.2046990432505671,-0.8421923624607874,54.16666666666666,7.0,3.4166666666666665,41883.37152777778,346.2517452086808,350.11539647412945,2863.9547930283225,46.56699346405228,0.5091431053282918,,
SIR,0.024,0.18,660.2608251633987,20.9983660130719,25.695540958761672,0.8552122209969079,0.14478777900309214,-0.4810818149061957,28.75,7.0,3.9166666666666665,33673.302083333336,335.12438227635135,338.9880335418,3397.4338235294117,50.16830065359478,0.417709448302111,,
SIR,0.024,0.22,632.5515386710239,21.08333333333333,25.15057730293728,0.8294290483353071,0.17057095166469294,-0.4189249842056526,19.0,7.0,4.0,32260.12847222222,332.9378467686914,336.80149803414,3209.805555555556,47.01633986928105,0.44986729841708895,,
SIR,0.028,0.1,1514.235362200436,21.478758169934636,38.91317723086148,0.7254913462826097,0.2745086537173903,-2.396697748784272,81.58333333333333,8.0,1.25,77226.00347222223,377.4559598348617,381.31961110031034,2168.005855119826,41.33660130718955,0.6284226887014012,,
SIR,0.028,0.14,983.2338643790852,22.47222222222223,31.356560149019618,0.8869737000632314,0.1130262999367686,-1.2055674679342374,57.5,8.0,3.9166666666666665,50144.92708333334,355.43319703470706,359.2968483001557,3335.488834422658,50.61601307189543,0.42832627963877556,,
