time,susceptible,infected,recovered,vaccinated
0.0,239.0,3.0,0.0,0.0
1.0,236.91666666666666,4.708333333333333,0.375,0.0
2.0,234.79166666666666,6.208333333333333,1.0,0.0
3.0,231.95833333333334,8.083333333333334,1.9583333333333333,0.0
4.0,227.125,11.708333333333334,3.1666666666666665,0.0
5.0,221.875,14.833333333333334,5.291666666666667,0.0
6.0,216.58333333333334,18.291666666666668,7.125,0.0
7.0,210.20833333333334,22.125,9.666666666666666,0.0
8.0,202.04166666666666,27.041666666666668,12.916666666666666,0.0
9.0,193.41666666666666,31.916666666666668,16.666666666666668,0.0
10.0,183.16666666666666,37.5,21.333333333333332,0.0
11.0,172.5,43.0,26.5,0.0
12.0,162.25,47.166666666666664,32.583333333333336,0.0
13.0,152.08333333333334,50.583333333333336,39.333333333333336,0.0
14.0,141.41666666666666,54.333333333333336,46.25,0.0
15.0,132.125,56.75,53.125,0.0
16.0,121.58333333333333,59.0,61.416666666666664,0.0
17.0,112.70833333333333,60.791666666666664,68.5,0.0
18.0,103.375,61.416666666666664,77.20833333333333,0.0
19.0,94.95833333333333,60.541666666666664,86.5,0.0
20.0,88.08333333333333,57.958333333333336,95.95833333333333,0.0
21.0,82.375,55.708333333333336,103.91666666666667,0.0
22.0,77.25,54.083333333333336,110.66666666666667,0.0
23.0,72.125,51.875,118.0,0.0
24.0,67.5,49.75,124.75,0.0
25.0,64.08333333333333,46.25,131.66666666666666,0.0
26.0,60.625,43.666666666666664,137.70833333333334,0.0
27.0,57.583333333333336,40.916666666666664,143.5,0.0
28.0,54.416666666666664,37.916666666666664,149.66666666666666,0.0
29.0,51.541666666666664,35.166666666666664,155.29166666666666,0.0
30.0,49.25,32.541666666666664,160.20833333333334,0.0
31.0,47.375,29.875,164.75,0.0
32.0,45.541666666666664,27.75,168.70833333333334,0.0
33.0,43.791666666666664,25.291666666666668,172.91666666666666,0.0
34.0,42.708333333333336,22.75,176.54166666666666,0.0
35.0,41.416666666666664,21.25,179.33333333333334,0.0
36.0,40.291666666666664,19.625,182.08333333333334,0.0
37.0,39.75,16.916666666666668,185.33333333333334,0.0
38.0,39.25,15.583333333333334,187.16666666666666,0.0
39.0,38.625,14.208333333333334,189.16666666666666,0.0
40.0,38.0,12.708333333333334,191.29166666666666,0.0
41.0,37.375,11.208333333333334,193.41666666666666,0.0
42.0,37.0,9.583333333333334,195.41666666666666,0.0
43.0,36.541666666666664,8.458333333333334,197.0,0.0
44.0,36.25,7.25,198.5,0.0
45.0,35.875,6.708333333333333,199.41666666666666,0.0
46.0,35.708333333333336,5.75,200.54166666666666,0.0
47.0,35.541666666666664,5.166666666666667,201.29166666666666,0.0
48.0,35.25,4.708333333333333,202.04166666666666,0.0
49.0,35.083333333333336,4.041666666666667,202.875,0.0
50.0,34.833333333333336,3.8333333333333335,203.33333333333334,0.0
