time,susceptible,exposed,infected,recovered,vaccinated
0.0,239.0,0.0,3.0,0.0,0.0
1.0,234.875,4.125,2.75,0.25,0.0
2.0,231.08333333333334,5.833333333333333,4.416666666666667,0.6666666666666666,0.0
3.0,227.08333333333334,7.166666666666667,6.208333333333333,1.5416666666666667,0.0
4.0,221.58333333333334,8.833333333333334,9.0,2.5833333333333335,0.0
5.0,214.91666666666666,11.708333333333334,11.416666666666666,3.9583333333333335,0.0
6.0,205.79166666666666,14.291666666666666,16.166666666666668,5.75,0.0
7.0,194.70833333333334,18.583333333333332,20.125,8.583333333333334,0.0
8.0,182.70833333333334,21.291666666666668,25.541666666666668,12.458333333333334,0.0
9.0,166.75,27.083333333333332,31.0,17.166666666666668,0.0
10.0,150.79166666666666,28.625,39.916666666666664,22.666666666666668,0.0
11.0,133.95833333333334,30.791666666666668,47.458333333333336,29.791666666666668,0.0
12.0,117.0,32.333333333333336,54.541666666666664,38.125,0.0
13.0,100.45833333333333,33.208333333333336,60.583333333333336,47.75,0.0
14.0,86.45833333333333,29.666666666666668,67.04166666666667,58.833333333333336,0.0
15.0,72.625,28.583333333333332,69.20833333333333,71.58333333333333,0.0
16.0,60.416666666666664,26.375,72.16666666666667,83.04166666666667,0.0
17.0,50.625,23.75,71.04166666666667,96.58333333333333,0.0
18.0,41.5,21.75,68.66666666666667,110.08333333333333,0.0
19.0,35.333333333333336,16.916666666666668,67.29166666666667,122.45833333333333,0.0
20.0,30.166666666666668,13.708333333333334,62.833333333333336,135.29166666666666,0.0
21.0,26.583333333333332,10.625,57.875,146.91666666666666,0.0
22.0,24.166666666666668,7.708333333333333,52.833333333333336,157.29166666666666,0.0
23.0,21.416666666666668,6.333333333333333,47.25,167.0,0.0
24.0,19.75,4.208333333333333,41.75,176.29166666666666,0.0
25.0,18.0,3.875,36.458333333333336,183.66666666666666,0.0
26.0,16.875,3.0833333333333335,31.25,190.79166666666666,0.0
27.0,15.666666666666666,2.625,27.416666666666668,196.29166666666666,0.0
28.0,14.875,2.1666666666666665,23.458333333333332,201.5,0.0
29.0,14.041666666666666,2.2916666666666665,20.166666666666668,205.5,0.0
30.0,13.583333333333334,1.4583333333333333,18.041666666666668,208.91666666666666,0.0
31.0,13.083333333333334,1.3333333333333333,15.583333333333334,212.0,0.0
32.0,12.791666666666666,0.9583333333333334,13.041666666666666,215.20833333333334,0.0
33.0,12.583333333333334,0.8333333333333334,10.666666666666666,217.91666666666666,0.0
34.0,12.166666666666666,0.9583333333333334,8.958333333333334,219.91666666666666,0.0
35.0,11.75,0.9583333333333334,7.833333333333333,221.45833333333334,0.0
36.0,11.583333333333334,0.5416666666666666,7.125,222.75,0.0
37.0,11.458333333333334,0.375,6.666666666666667,223.5,0.0
38.0,11.291666666666666,0.375,5.583333333333333,224.75,0.0
39.0,11.125,0.2916666666666667,4.791666666666667,225.79166666666666,0.0
40.0,11.083333333333334,0.20833333333333334,4.25,226.45833333333334,0.0
41.0,11.083333333333334,0.125,3.8333333333333335,226.95833333333334,0.0
42.0,10.916666666666666,0.16666666666666666,3.0833333333333335,227.83333333333334,0.0
43.0,10.916666666666666,0.041666666666666664,2.8333333333333335,228.20833333333334,0.0
44.0,10.875,0.041666666666666664,2.5833333333333335,228.5,0.0
45.0,10.833333333333334,0.08333333333333333,2.0,229.08333333333334,0.0
46.0,10.833333333333334,0.041666666666666664,1.75,229.375,0.0
47.0,10.75,0.08333333333333333,1.5416666666666667,229.625,0.0
48.0,10.708333333333334,0.08333333333333333,1.3333333333333333,229.875,0.0
49.0,10.708333333333334,0.0,1.25,230.04166666666666,0.0
50.0,10.708333333333334,0.0,1.125,230.16666666666666,0.0
